market_id,question,description,outcomes,end_date,volume,ground_truth,ground_truth_label,final_prices,slug
1345824,"Will the price of Bitcoin be above $72,000 on February 13?","This market will resolve to ""Yes"" if the Binance 1 minute candle for BTC/USDT 12:00 in the ET timezone (noon) on the date specified in the title has a final ""Close"" price higher than the price specified in the title. Otherwise, this market will resolve to ""No"".

The resolution source for this market is Binance, specifically the BTC/USDT ""Close"" prices currently available at https://www.binance.com/en/trade/BTC_USDT with ""1m"" and ""Candles"" selected on the top bar.

Please note that this market is about the price according to Binance BTC/USDT, not according to other sources or spot markets.

Price precision is determined by the number of decimal places in the source.","[""Yes"", ""No""]",2026-02-13T17:00:00Z,999989.66,0,No,"[0.0, 1.0]",bitcoin-above-72k-on-february-13
1369878,"Will Elon Musk post 90-114 tweets from February 14 to February 16, 2026?","This market will resolve according to the number of times Elon Musk (@elonmusk), posts on X from February 14 12:00 PM ET to February 16, 2026 12:00 PM ET.

For the purposes of this market, only main feed posts, quote posts and reposts will count.

Replies will NOT count towards the total - however, replies on the main feed such as https://x.com/elonmusk/status/1786073478711353576 will be counted by the tracker.

Deleted posts will count as long as they remain available long enough to be captured by the tracker (~5 minutes).

Community reposts which are not counted by the tracker not count toward the total.

The resolution source for this market is the 'Post Counter' figure for posts found at https://xtracker.polymarket.com. Individual posts can be viewed by clicking ""Export Data"". If the tracker does not update correctly in accordance with the rules, X itself may be used as a secondary resolution source.","[""Yes"", ""No""]",2026-02-16T17:00:00Z,999970.61,0,No,"[0.0, 1.0]",elon-musk-of-tweets-february-14-february-16-90-114
1427388,Will the highest temperature in London be 18°C on February 25?,"This market will resolve to the temperature range that contains the highest temperature recorded at the London City Airport Station in degrees Celsius on 25 Feb '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the London City Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/gb/london/EGLC.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.","[""Yes"", ""No""]",2026-02-25T12:00:00Z,99995.33,0,No,"[0.0, 1.0]",highest-temperature-in-london-on-february-25-2026-18c
537914,"Will Trump pardon Joe Exotic ""The Tiger King"" in 2025?","This market will resolve to ""Yes"" if the listed individual receives a presidential pardon, commutation, or reprieve from Donald Trump by December 31, 2025, 11:59 PM ET. Otherwise, this market will resolve to ""No"".

The primary resolution source for whether the individual is pardoned or not will be official information from the US government, however a consensus of credible reporting will also be used.","[""Yes"", ""No""]",2025-12-31T12:00:00Z,99993.94,0,No,"[0.0, 1.0]",will-trump-pardon-joe-exotic-the-tiger-king-in-2025-784-928-365
521497,Will Russia capture territory in Dnipropetrovsk Oblast by February 28?,"This market will resolve to “Yes” if, according to the ISW map, Russia captures any territory in Dnipropetrovsk Oblast by February 28, 2025 at 11:59 PM ET.

Territory will will be considered captured if any part of Dnipropetrovsk Oblast shaded red on the ISW map (https://storymaps.arcgis.com/stories/36a7f6a6f5a9448496de641cf64bd375) by the resolution date. If the area is not shaded red by February 28, 2025, 11:59 PM ET, the market will resolve to “No”.

The border between Oblasts shaded in light purple on the ISW map will not qualify. Territory across the Oblast border must be shaded red to count. 

Once Russia captures territory in Dnipropetrovsk Oblast, any subsequent loss of control will not be considered towards the resolution of this market.

If Russia comes into control of territory in Dnipropetrovsk Oblast as a result of a negotiated settlement, this will qualify for a 'Yes' resolution, regardless of if it is shaded red in the ISW map. However, an announcement of a negotiated settlement which gives Russia de jure control will not qualify. Actual control must be established

The primary resolution source for this market will be the ISW Ukraine map. If the ISW map is rendered unavailable, information from DeepStateMap (https://deepstatemap.live/) may be used. If information from both the ISW and DeepStateMap are rendered permanently unavailable, a consensus of credible reporting may be used.

Note: Any temporary glitches or errors in the map which will not be considered.","[""Yes"", ""No""]",2025-02-28T12:00:00Z,99988.14,0,No,"[0.0, 1.0]",will-russia-capture-territory-in-dnipro-oblast-by-february-28
543510,Will Manchester United win on 2025-05-25?,"In the upcoming EPL game, scheduled for May 25 at 11:00AM ET,
If Manchester United wins, this market will resolve to “Yes”.
If Manchester United loses, this market will resolve to “No”.
If the game is postponed, this market will remain open until the game has been completed.
If the game is canceled entirely, with no make-up game, this market will resolve “No”.
This market refers only to the outcome within the first 90 minutes of regular play plus stoppage time.","[""Yes"", ""No""]",2025-05-25T15:00:00Z,99983.02,1,Yes,"[1.0, 0.0]",epl-mun-ast-2025-05-25-mun
1366821,Will FC Internazionale Milano win on 2026-02-24?,"In the upcoming game, scheduled for February 24, 2026
If FC Internazionale Milano wins, this market will resolve to ""Yes"".
Otherwise, this market will resolve to ""No"".
If the game is postponed, this market will remain open until the game has been completed.
If the game is canceled entirely, with no make-up game, this market will resolve ""No"".
This market refers only to the outcome within the first 90 minutes of regular play plus stoppage time.","[""Yes"", ""No""]",2026-02-24T20:00:00Z,999801.04,0,No,"[0.0, 1.0]",ucl-int2-bog1-2026-02-24-int2
507875,Will the Milwaukee Bucks win the 2025 NBA Finals?,"This market will resolve to “Yes” if the Milwaukee Bucks win the 2024-2025 NBA Championship. Otherwise, this market will resolve to “No”.

This market will resolve to “No” if it becomes impossible for this team to become 2024-25 NBA Champion based off the rules of the NBA.

The resolution source for this market will be information from the NBA.","[""Yes"", ""No""]",2025-06-23T12:00:00Z,9997936.82,0,No,"[0.0, 1.0]",will-the-milwaukee-bucks-win-the-2025-nba-finals
670664,"Will Elon Musk post 280-299 tweets from November 11 to November 18, 2025?","This market will resolve according to the number of times Elon Musk (@elonmusk), posts on X from November 11 12:00 PM ET to November 18, 2025 12:00 PM ET.

For the purposes of this market, only main feed posts, quote posts and reposts will count.

Replies will NOT count towards the total - however, replies on the main feed such as https://x.com/elonmusk/status/1786073478711353576 will be counted by the tracker.

Deleted posts will count as long as they remain available long enough to be captured by the tracker (~5 minutes).

Community reposts which are not counted by the tracker not count toward the total.

The resolution source for this market is the 'Post Counter' figure for posts found at https://www.xtracker.io/. Individual posts can be viewed by clicking ""Export Data"". If the tracker does not update correctly in accordance with the rules, X itself may be used as a secondary resolution source.","[""Yes"", ""No""]",2025-11-18T17:00:00Z,999733.05,0,No,"[0.0, 1.0]",elon-musk-of-tweets-november-11-november-18-280-299
1220929,"Will the price of Bitcoin be between $98,000 and $100,000 on January 26?","This market will resolve according to the final ""Close"" price of the Binance 1 minute candle for BTC/USDT 12:00 in the ET timezone (noon) on the date specified in the title. Otherwise, this market will resolve to ""No"".

The resolution source for this market is Binance, specifically the BTC/USDT ""Close"" prices currently available at https://www.binance.com/en/trade/BTC_USDT with ""1m"" and ""Candles"" selected on the top bar.

If the reported value falls exactly between two brackets, then this market will resolve to the higher range bracket.

Please note that this market is about the price according to Binance BTC/USDT, not according to other sources or spot markets.","[""Yes"", ""No""]",2026-01-26T17:00:00Z,99959.31,0,No,"[0.0, 1.0]",will-the-price-of-bitcoin-be-between-98000-100000-on-january-26
